ATA_MANAGE_NO,DATA_TITLE_NM,SUMRY_CN,CL_NM,LWPRT_CL_NM,TY_NM,LWPRT_DATA_TY_NM,CTPRVN_NM,SIGNGU_NM,CTLSTT_LA,CTLSTT_LO,REGIST_DE,MAIN_THUMB_URL,CNTNTS_URL,CORE_KWRD_CN,OPN_DE
82476,주천 석장승,주천 석장승,문화유산,조각,시청각물,VR,전라북도,남원시,35.40143678,127.4236223,20230101,https://minio.nculture.org/amsweb-opt/3ds/57/84662/84662_thumbnail.jpg,https://vr.nculture.org/vr/2020-jeonbug-nam-wonsi-jucheon-seogjangseung/,"석장승, 남원, 주천, 전라북도, 김기수, 호기리",20231230
82475,척문리산성,척문리산성,문화유산,건축유적,시청각물,VR,전라북도,남원시,35.42999353,127.4242673,20230101,https://minio.nculture.org/amsweb-opt/3ds/58/84663/84663_thumbnail.jpg,https://vr.nculture.org/vr/2020-jeonbug-nam-wonsi-cheogmunlisanseong/,"남원, 척문리산성, 척문리고분, 초촌리고분, 넘짓골",20231230
82474,황산대첩비,황산대첩비,문화유산,기타,시청각물,VR,전라북도,남원시,35.458132,127.5615293,20230101,https://minio.nculture.org/amsweb-opt/3ds/59/84664/84664_thumbnail.jpg,https://vr.nculture.org/vr/2020-jeonbug-nam-wonsi-hwangsandaecheobbi/,"이성계, 황산대첩비, 황산대첩, 파비각, 황산대첩축제",20231230
82473,김환태문학관 최북미술관,김환태문학관 최북미술관,종교와 문화,문화예술,시청각물,VR,전라북도,무주군,36.00463847,127.6639068,20230101,https://minio.nculture.org/amsweb-opt/3ds/60/84665/84665_thumbnail.jpg,https://vr.nculture.org/vr/2020-jeonbug-mujugun-gimhwantaemunhaggwan-choebugmisulgwan/,"게, 호생관, 미치광이, 메추라기, 풍설야귀인, 공산무인",20231230
82472,반남박씨 삼세충의비,반남박씨 삼세충의비,문화유산,기타,시청각물,VR,전라북도,무주군,35.87760906,127.6908292,20230101,https://minio.nculture.org/amsweb-opt/3ds/61/84666/84666_thumbnail.jpg,https://vr.nculture.org/vr/2020-jeonbug-mujugun-bannambagssi-samsechung-uibi/,"두문마을, 박힐, 박인, 박희권, 삼세충의비",20231230
82471,부안 구암리 지석묘군,부안 구암리 지석묘군,문화유산,조각,시청각물,VR,전라북도,부안군,35.70924344,126.6550287,20230101,https://minio.nculture.org/amsweb-opt/3ds/62/84667/84667_thumbnail.jpg,https://vr.nculture.org/vr/2020-jeonbug-buangun-guamli-jiseogmyogun/,"고인돌, 거북바위, 지석묘",20231230
82470,부안 김상만 가옥,부안 김상만 가옥,생활과 민속,생활,시청각물,VR,전라북도,부안군,35.590224,126.6796703,20230101,https://minio.nculture.org/amsweb-opt/3ds/63/84668/84668_thumbnail.jpg,https://vr.nculture.org/vr/2020-jeonbug-buangun-nammun-andangsan/,"김상만, 부안, 초가집",20231230
82469,부안 남문안당산,부안 남문안당산,문화유산,조각,시청각물,VR,전라북도,부안군,35.73185904,126.7361135,20230101,https://minio.nculture.org/amsweb-opt/3ds/64/84669/84669_thumbnail.jpg,https://vr.nculture.org/vr/2020-jeonbug-buangun-baegsanseong/,"줄다리기, 당산, 부안읍, 동중리",20231230
82468,부안 백산성,부안 백산성,문화유산,건축유적,시청각물,VR,전라북도,부안군,35.72006124,126.8066255,20230101,https://minio.nculture.org/amsweb-opt/3ds/65/84670/84670_thumbnail.jpg,https://vr.nculture.org/vr/2020-jeonbug-buangun-buangimsangmangaog/,"산성, 동학, 백산, 부여풍, 백제부흥군",20231230
82467,부안 쌍조석간,부안 쌍조석간,문화유산,조각,시청각물,VR,전라북도,부안군,35.75384345,126.682796,20230101,https://minio.nculture.org/amsweb-opt/3ds/66/84671/84671_thumbnail.jpg,https://vr.nculture.org/vr/2020-jeonbug-buangun-ssangjoseoggan/,"계화면, 궁안리, 대벌마을, 베다리기",20231230
