TRRSRT_NM,BASE_YM,CHNNEL_NM,BASE_YEAR_ACCMLT_FQ_CO,BASE_YM_FQ_CO,BASE_YEAR_BEFORE_MT_FQ_CO,BEFORE_MT_VERSUS_FQ_CO_IRDS_RT,AVRG_SCORE_VALUE,REVIEW_CO,PLACE_TY,LC_LA,LC_LO,ADDR,CTPRVN_NM,SIGNGU_NM,TURSM_CSTMR_CO,BEFORE_YEAR_MT_TURSM_CSTMR_CO,TURSM_CSTMR_CO_IRDS_RT,TURSM_SPND_PRICE,NATIVE_TURSM_SPND_PRICE,FRNR_TURSM_SPND_PRICE
"해운대해수욕장","202603","기타","3.00000","2.00000","1.00000","1.00000","4.60000","2666.00000","해변","35.1719465","129.1741038","부산광역시 해운대구 좌동 998-11","부산광역시","해운대구","5866066.00000","5662184.00000","3.60000","213290962.00000","189829089.00000","23461873.00000"
"광화문","202603","기타","5.00000","5.00000",,"1.00000","4.50000","13963.00000","역사적 명소","37.572389","126.9769117","서울특별시 종로구 세종대로 172","서울특별시","종로구","14714581.00000","13247028.00000","11.10000","267623925.00000","216063147.00000","51560778.00000"
"경복궁","202603","기타","2.00000","1.00000","1.00000",,"4.60000","46103.00000","문화적 랜드마크","37.579617","126.977041","서울특별시 종로구 사직로 161","서울특별시","종로구","14714581.00000","13247028.00000","11.10000","267623925.00000","216063147.00000","51560778.00000"
"청계천","202603","기타","1.00000",,"1.00000","-1.00000","4.50000","10516.00000","공원","37.5691015","126.9786692","서울특별시 중구 무교동 80-1","서울특별시","종로구","14714581.00000","13247028.00000","11.10000","267623925.00000","216063147.00000","51560778.00000"
"서울아트시네마","202603","기타","1.00000","1.00000",,"1.00000","4.60000","62.00000","영화관","37.568038","126.9695876","서울특별시 중구 정동길 3","서울특별시","중구","13062427.00000","12871649.00000","1.50000","942633456.00000","678991116.00000","263642340.00000"
"올림픽공원","202603","기타","1.00000",,,,"4.60000","2992.00000","시티 공원","37.5206868","127.1214941","서울특별시 송파구 방이동 88-3","서울특별시","송파구","11907262.00000","11296638.00000","5.40000","327524706.00000","287557807.00000","39966899.00000"
"코엑스몰","202603","기타","1.00000","1.00000",,"1.00000","4.30000","24516.00000","쇼핑몰","37.5113686","127.0595931","서울특별시 영동대로 513","서울특별시","강남구","20391298.00000","19186622.00000","6.30000","761281418.00000","516273492.00000","245007926.00000"
"이태원","202603","기타","1.00000","1.00000",,"1.00000","4.30000","302.00000","관광 명소","37.5385051","126.9925224","서울특별시 용산구 이태원동 213-4","서울특별시","용산구","10501456.00000","9982640.00000","5.20000","197037746.00000","162333055.00000","34704691.00000"
"합천영상테마파크","202603","기타","1.00000",,"1.00000","-1.00000","4.10000","4028.00000","테마파크","35.5492109","128.07312","경상남도 합천군 용주면 합천호수로 757","경상남도","합천군","487826.00000","486017.00000","0.40000","4069996.00000","4055652.00000","14344.00000"
"예술의전당","202603","기타","1.00000","1.00000",,"1.00000","4.60000","12082.00000","아트 센터","37.4792903","127.0128613","서울특별시 서초구 남부순환로 2406","서울특별시","서초구","17253660.00000","15777590.00000","9.40000","506187388.00000","444313195.00000","61874193.00000"
"롯데월드","202603","기타","2.00000",,"2.00000","-1.00000","4.30000","48265.00000","테마파크","37.5111158","127.098167","서울특별시 송파구 송파대로 521","서울특별시","송파구","11907262.00000","11296638.00000","5.40000","327524706.00000","287557807.00000","39966899.00000"
"덕수궁","202603","기타","1.00000","1.00000",,"1.00000","4.60000","20140.00000","문화적 랜드마크","37.5658049","126.9751461","서울특별시 중구 세종대로 99","서울특별시","중구","13062427.00000","12871649.00000","1.50000","942633456.00000","678991116.00000","263642340.00000"
"낙산사","202603","기타","1.00000","1.00000",,"1.00000","4.50000","10565.00000","불교사찰","38.1246156","128.6280451","강원특별자치도 양양군 강현면 전진리 55","강원특별자치도","양양군","948220.00000","974491.00000","-2.70000","18267405.00000","18160132.00000","107273.00000"
"신촌","202603","기타","2.00000","2.00000",,"1.00000","4.70000","1641.00000","대학교","37.5650797","126.9399549","서울특별시 서대문구 연세로 50-1","서울특별시","서대문구","9267108.00000","8327028.00000","11.30000","90077981.00000","78865725.00000","11212256.00000"
"광주극장","202603","기타","1.00000","1.00000",,"1.00000","4.40000","318.00000","영화관","35.1497968","126.9124823","광주광역시 동구 충장로4가 64","광주광역시","동구","3391731.00000","3076090.00000","10.30000","35987861.00000","35461148.00000","526713.00000"
"서울대학교","202603","기타","4.00000","3.00000",,"1.00000","4.40000","2006.00000","공립대학교","37.4648267","126.9571988","서울특별시 관악구 관악로","서울특별시","관악구","6865366.00000","6193810.00000","10.80000","74089104.00000","72314424.00000","1774680.00000"
"이화여자대학교","202603","기타","5.00000","2.00000","3.00000","-0.30000","4.60000","1444.00000","여자대학","37.5618588","126.9468339","서울특별시 서대문구 대현동 산11-1","서울특별시","서대문구","9267108.00000","8327028.00000","11.30000","90077981.00000","78865725.00000","11212256.00000"
"남한산성","202603","기타","2.00000","1.00000",,"1.00000","4.40000","1806.00000","문화 유산 보존","37.4789","127.18","경기도 광주시 남한산성면 남한산성로 784-29","경기도","광주시","4276958.00000","4129514.00000","3.60000","68294148.00000","67941906.00000","352242.00000"
"부산 국제시장","202603","기타","6.00000","5.00000",,"1.00000","4.10000","12861.00000","시장","35.1731121","129.0714122","부산광역시 양정역","부산광역시","부산진구","6622592.00000","6375526.00000","3.90000","114819077.00000","88509410.00000","26309667.00000"
