ESNTL_ID,LCLAS_NM,MLSFC_NM,FCLTY_NM,CTPRVN_CD,CTPRVN_NM,SIGNGU_CD,SIGNGU_NM,LEGALDONG_CD,LEGALDONG_NM,ROAD_NM_CD,FCLTY_ROAD_NM_ADDR,LNM_ADDR,ADDR_ENG_NM,ADSTRD_CD,BULD_NM,BULD_MANAGE_CD,TEL_NO,ZIP_NO,HMPG_URL,FCLTY_LA,FCLTY_LO,ORIGIN_NM,ADIT_DC,UPDT_DT,REGIST_DT
KCKRSPO23N000000001,관광명소,관광명소_축제,강릉커피축제,51,강원특별자치도,51150,강릉시,5115010700,용강동,421504460834,강원특별자치도 강릉시 임영로131번길 6 (용강동),강원특별자치도 강릉시 용강동 58-1 임영관,"6 Imyeong-ro 131beon-gil, Gangneung-si, Gangwon-do",,임영관,4215010700100580001028802,033-647-6802,46274,http://www.coffeefestival.net,37,128,문화정보원,커피경연대회(바리스타+핸드드립+커핑+마카롱)+커피체험(로스팅+추출+커핑+공예품 등)+전시+공연 등,20240604,20240604
KCKRSPO23N000000002,관광명소,관광명소_축제,전국생활문화축제 in강릉,51,강원특별자치도,51150,강릉시,5115010300,명주동,421504460103,강원특별자치도 강릉시 경강로2021번길 9-1 (명주동),강원특별자치도 강릉시 명주동 49-1 명주예술마당,"9-1 Gyeonggang-ro 2021beon-gil, Gangneung-si, Gangwon-do",,명주예술마당,4215010300100490001025425,033-647-6808,44970,,37,128,문화정보원,전국 생활문화 활동 발표+기획 프로그램 등,20240604,20240604
KCKRSPO23N000000003,관광명소,관광명소_축제,2022 강릉와인축제,51,강원특별자치도,51150,강릉시,5115010500,임당동,421503000145,강원특별자치도 강릉시 경강로 2111 (임당동),강원특별자치도 강릉시 임당동 106-1 임당시장,"2111 Gyeonggang-ro, Gangneung-si, Gangwon-do",,임당시장,4215010500101060001000001,033-647-6802,45015,https://www.gncaf.or.kr/contents.asp?page=482,37,128,문화정보원,도전 와인 골든벨+선셋 와인 아워+시음존 등 운영,20240604,20240604
KCKRSPO23N000000004,관광명소,관광명소_지역명소,2022 강릉누들축제,51,강원특별자치도,51150,강릉시,5115010500,임당동,421503000145,강원특별자치도 강릉시 경강로 2112 (임당동),강원특별자치도 강릉시 임당동 113-2 금학상가,"2112 Gyeonggang-ro, Gangneung-si, Gangwon-do",1126010500,금학상가,4215010500101130002000001,033-640-5130,25541,,37,128,문화정보원,"누들 쿠킹쇼, 쿠킹클래스, 시식회, 대형 수제비 만들기 등",20240604,20240604
KCKRSPO23N000000005,관광명소,관광명소_축제,군위 삼장군단오축제,27,대구광역시,27720,군위군,2772032029,효령면 장군리,477204742234,대구광역시 군위군 효령면 장군당1길 24-6,대구광역시 군위군 효령면 장군리 116-3,"24-6 Janggundang 1-gil, Hyoryeong-myeon, Gunwi-gun, Daegu",,,4772032044101160003000001,054-380-6866,38333,,36,128,문화정보원,단오축제,20240604,20240604
KCKRSPO23N000000006,관광명소,관광명소_축제,김수환추기경 사랑과 나눔 문화축전,27,대구광역시,27720,군위군,2772025034,군위읍 용대리,477203018054,대구광역시 군위군 군위읍 군위금성로 270,대구광역시 군위군 군위읍 용대리 424 김수환추기경 추모전시관,"270 Gunwigeumseong-ro, Gunwi-eup, Gunwi-gun, Daegu",,김수환추기경 추모전시관,4772025034104240000017018,054-380-6065,38333,,36,128,문화정보원,김수환추기경 문화축전,20240604,20240604
KCKRSPO23N000000007,관광명소,관광명소_축제,구례산수유꽃축제,,,,,,,,경기도 안양시 동안구 관평로 149 (평촌동),경기도 안양시 동안구 평촌동 895 중앙공원관리부속,"149 Gwanpyeong-ro, Dongan-gu, Anyang-si, Gyeonggi-do",4272025000,중앙공원관리부속,4117310300108950000000001,061-780-2390,5011,https://www.gurye.go.kr/tour/detail.do?tourId=TOUR_0000000100&menuNo=104001002000,32,123,문화정보원,산수유꽃 프로그램,20240604,20240604
KCKRSPO23N000000008,관광명소,관광명소_지역명소,2016 안양 시민축제,41,경기도,41173,안양시,4117310300,평촌동,411733183003,경기도 안양시 동안구 관평로 149 (평촌동),경기도 안양시 동안구 평촌동 895 중앙공원관리부속,"149 Gwanpyeong-ro, Dongan-gu, Anyang-si, Gyeonggi-do",4180025000,중앙공원관리부속,4117310300108950000000001,031-687-0500,24364,http://www.ayac.or.kr,37,126,문화정보원,시민공연마당+ 전시체험부스+ 특별기회전시+ 개폐막 축하공연+ 방송국 공개방송 등,20240604,20240604
KCKRSPO23N000000009,관광명소,관광명소_축제,2016 안양 아줌마축제,41,경기도,41173,안양시,4117310300,평촌동,411733183003,경기도 안양시 동안구 관평로 149 (평촌동),경기도 안양시 동안구 평촌동 895 중앙공원관리부속,"149 Gwanpyeong-ro, Dongan-gu, Anyang-si, Gyeonggi-do",4272025000,중앙공원관리부속,4117310300108950000000001,031-687-0500,24341,http://www.ayac.or.kr,37,126,문화정보원,아줌마 축제 기념공연+ 여성동호회공연+ 주부가요제+ 홍보체험부스+ 김치왕선발대회 등,20240604,20240604
KCKRSPO23N000000010,관광명소,관광명소_지역명소,2016 제5회 안양공공예술프로젝트,,경기도,,안양시,,,411713183019,경기도 안양시 만안구 예술공원로 180 (안양동),경기도 안양시 만안구 안양동 1351 안양파빌리온,"180 Yesulgongwon-ro, Manan-gu, Anyang-si, Gyeonggi-do",,안양파빌리온,4117110100113510000008169,031-687-0916,24399,http://www.ayac.or.kr,37,126,문화정보원,개막식+ 체험부스운영+ 공공예술작품 전시 및 공연,20240604,20240604
