DATA_MANAGE_NO,DATA_TITLE_NM,SUMRY_CN,SBJT_NM,MIDDL_SBJT_NM,MAIN_THUMB_URL,CNTNTS_URL,ERA_NM,CTPRVN_NM,SIGNGU_NM,ADDR,CTLSTT_LA,CTLSTT_LO,RELATE_PLACE_NM,REGIST_DE,CORE_KWRD_CN,SEXDSTN_CD,INTRST_REALM_NM,PGE_VIEWS_CO,VISIT_CO,OPN_DE
20231200001,"서울 최초의 근대 백화점, 미츠코시 백화점 경성지점","미츠코시 백화점 경성지점은 서울특별시에 세워진 최초의 근대식 백화점이다. 미츠코시 오복점이 1929년에 지점으로 승격되면서 본격적으로 백화점의 면모를 갖추게 되었다. 대형 백화점의 등장은 정찰제 판매, 박리다매 전략의 등장으로 우리나라 유통에 큰 변화를 불러왔다. 미츠코시 백화점은 일반 시민들에게 일상적인 공간으로 자리 잡았으나 이면에는 일제강점기 소비문화의 모순이 감춰져 있기도 했다. 현재는 서울특별시 중구 신세계백화점 본점 본관으로 사용되고 있다.",공간으로 읽는 근대문화 역사유산,"근대, 한반도에 발을 딛다",https://minio.nculture.org/amsweb-opt/multimedia_assets/125/85820/93650/c/%EA%B5%AC-%EB%AF%B8%EC%93%B0%EC%BD%94%EC%8B%9C-%EA%B2%BD%EC%84%B1%EC%A7%80%EC%A0%90-%281%29_rev-thumb.jpg,https://ncms.nculture.org/legacy/story/7134,근대-일제강점기(1910.8.22~1945.8.14),서울특별시,중구,서울특별시 중구 소공로 63,37.56091902,126.980979,신세계백화점 본점,20230101,"백화점, 미츠코시, 이상, 채만식",M,뉴스 & 정치/열렬한 뉴스 독자/연예 뉴스 매니아,104,90,20231230
20231200002,"서울 최초의 근대 백화점, 미츠코시 백화점 경성지점","미츠코시 백화점 경성지점은 서울특별시에 세워진 최초의 근대식 백화점이다. 미츠코시 오복점이 1929년에 지점으로 승격되면서 본격적으로 백화점의 면모를 갖추게 되었다. 대형 백화점의 등장은 정찰제 판매, 박리다매 전략의 등장으로 우리나라 유통에 큰 변화를 불러왔다. 미츠코시 백화점은 일반 시민들에게 일상적인 공간으로 자리 잡았으나 이면에는 일제강점기 소비문화의 모순이 감춰져 있기도 했다. 현재는 서울특별시 중구 신세계백화점 본점 본관으로 사용되고 있다.",공간으로 읽는 근대문화 역사유산,"근대, 한반도에 발을 딛다",https://minio.nculture.org/amsweb-opt/multimedia_assets/125/85820/93650/c/%EA%B5%AC-%EB%AF%B8%EC%93%B0%EC%BD%94%EC%8B%9C-%EA%B2%BD%EC%84%B1%EC%A7%80%EC%A0%90-%281%29_rev-thumb.jpg,https://ncms.nculture.org/legacy/story/7134,근대-일제강점기(1910.8.22~1945.8.14),서울특별시,중구,서울특별시 중구 소공로 63,37.56091902,126.980979,신세계백화점 본점,20230101,"백화점, 미츠코시, 이상, 채만식",M,미디어 & 엔터테인먼트/TV 대중 시청자,93,79,20231230
20231200003,"서울 최초의 근대 백화점, 미츠코시 백화점 경성지점","미츠코시 백화점 경성지점은 서울특별시에 세워진 최초의 근대식 백화점이다. 미츠코시 오복점이 1929년에 지점으로 승격되면서 본격적으로 백화점의 면모를 갖추게 되었다. 대형 백화점의 등장은 정찰제 판매, 박리다매 전략의 등장으로 우리나라 유통에 큰 변화를 불러왔다. 미츠코시 백화점은 일반 시민들에게 일상적인 공간으로 자리 잡았으나 이면에는 일제강점기 소비문화의 모순이 감춰져 있기도 했다. 현재는 서울특별시 중구 신세계백화점 본점 본관으로 사용되고 있다.",공간으로 읽는 근대문화 역사유산,"근대, 한반도에 발을 딛다",https://minio.nculture.org/amsweb-opt/multimedia_assets/125/85820/93650/c/%EA%B5%AC-%EB%AF%B8%EC%93%B0%EC%BD%94%EC%8B%9C-%EA%B2%BD%EC%84%B1%EC%A7%80%EC%A0%90-%281%29_rev-thumb.jpg,https://ncms.nculture.org/legacy/story/7134,근대-일제강점기(1910.8.22~1945.8.14),서울특별시,중구,서울특별시 중구 소공로 63,37.56091902,126.980979,신세계백화점 본점,20230101,"백화점, 미츠코시, 이상, 채만식",M,뉴스 & 정치/열렬한 뉴스 독자/열렬한 정치 뉴스 독자,91,78,20231230
20231200004,"서울 최초의 근대 백화점, 미츠코시 백화점 경성지점","미츠코시 백화점 경성지점은 서울특별시에 세워진 최초의 근대식 백화점이다. 미츠코시 오복점이 1929년에 지점으로 승격되면서 본격적으로 백화점의 면모를 갖추게 되었다. 대형 백화점의 등장은 정찰제 판매, 박리다매 전략의 등장으로 우리나라 유통에 큰 변화를 불러왔다. 미츠코시 백화점은 일반 시민들에게 일상적인 공간으로 자리 잡았으나 이면에는 일제강점기 소비문화의 모순이 감춰져 있기도 했다. 현재는 서울특별시 중구 신세계백화점 본점 본관으로 사용되고 있다.",공간으로 읽는 근대문화 역사유산,"근대, 한반도에 발을 딛다",https://minio.nculture.org/amsweb-opt/multimedia_assets/125/85820/93650/c/%EA%B5%AC-%EB%AF%B8%EC%93%B0%EC%BD%94%EC%8B%9C-%EA%B2%BD%EC%84%B1%EC%A7%80%EC%A0%90-%281%29_rev-thumb.jpg,https://ncms.nculture.org/legacy/story/7134,근대-일제강점기(1910.8.22~1945.8.14),서울특별시,중구,서울특별시 중구 소공로 63,37.56091902,126.980979,신세계백화점 본점,20230101,"백화점, 미츠코시, 이상, 채만식",F,뉴스 & 정치/열렬한 뉴스 독자/연예 뉴스 매니아,88,77,20231230
20231200005,"서울 최초의 근대 백화점, 미츠코시 백화점 경성지점","미츠코시 백화점 경성지점은 서울특별시에 세워진 최초의 근대식 백화점이다. 미츠코시 오복점이 1929년에 지점으로 승격되면서 본격적으로 백화점의 면모를 갖추게 되었다. 대형 백화점의 등장은 정찰제 판매, 박리다매 전략의 등장으로 우리나라 유통에 큰 변화를 불러왔다. 미츠코시 백화점은 일반 시민들에게 일상적인 공간으로 자리 잡았으나 이면에는 일제강점기 소비문화의 모순이 감춰져 있기도 했다. 현재는 서울특별시 중구 신세계백화점 본점 본관으로 사용되고 있다.",공간으로 읽는 근대문화 역사유산,"근대, 한반도에 발을 딛다",https://minio.nculture.org/amsweb-opt/multimedia_assets/125/85820/93650/c/%EA%B5%AC-%EB%AF%B8%EC%93%B0%EC%BD%94%EC%8B%9C-%EA%B2%BD%EC%84%B1%EC%A7%80%EC%A0%90-%281%29_rev-thumb.jpg,https://ncms.nculture.org/legacy/story/7134,근대-일제강점기(1910.8.22~1945.8.14),서울특별시,중구,서울특별시 중구 소공로 63,37.56091902,126.980979,신세계백화점 본점,20230101,"백화점, 미츠코시, 이상, 채만식",M,미디어 & 엔터테인먼트/영화 애호가,85,79,20231230
20231200006,"서울 최초의 근대 백화점, 미츠코시 백화점 경성지점","미츠코시 백화점 경성지점은 서울특별시에 세워진 최초의 근대식 백화점이다. 미츠코시 오복점이 1929년에 지점으로 승격되면서 본격적으로 백화점의 면모를 갖추게 되었다. 대형 백화점의 등장은 정찰제 판매, 박리다매 전략의 등장으로 우리나라 유통에 큰 변화를 불러왔다. 미츠코시 백화점은 일반 시민들에게 일상적인 공간으로 자리 잡았으나 이면에는 일제강점기 소비문화의 모순이 감춰져 있기도 했다. 현재는 서울특별시 중구 신세계백화점 본점 본관으로 사용되고 있다.",공간으로 읽는 근대문화 역사유산,"근대, 한반도에 발을 딛다",https://minio.nculture.org/amsweb-opt/multimedia_assets/125/85820/93650/c/%EA%B5%AC-%EB%AF%B8%EC%93%B0%EC%BD%94%EC%8B%9C-%EA%B2%BD%EC%84%B1%EC%A7%80%EC%A0%90-%281%29_rev-thumb.jpg,https://ncms.nculture.org/legacy/story/7134,근대-일제강점기(1910.8.22~1945.8.14),서울특별시,중구,서울특별시 중구 소공로 63,37.56091902,126.980979,신세계백화점 본점,20230101,"백화점, 미츠코시, 이상, 채만식",M,테크놀로지/기술애호가,84,72,20231230
20231200007,"서울 최초의 근대 백화점, 미츠코시 백화점 경성지점","미츠코시 백화점 경성지점은 서울특별시에 세워진 최초의 근대식 백화점이다. 미츠코시 오복점이 1929년에 지점으로 승격되면서 본격적으로 백화점의 면모를 갖추게 되었다. 대형 백화점의 등장은 정찰제 판매, 박리다매 전략의 등장으로 우리나라 유통에 큰 변화를 불러왔다. 미츠코시 백화점은 일반 시민들에게 일상적인 공간으로 자리 잡았으나 이면에는 일제강점기 소비문화의 모순이 감춰져 있기도 했다. 현재는 서울특별시 중구 신세계백화점 본점 본관으로 사용되고 있다.",공간으로 읽는 근대문화 역사유산,"근대, 한반도에 발을 딛다",https://minio.nculture.org/amsweb-opt/multimedia_assets/125/85820/93650/c/%EA%B5%AC-%EB%AF%B8%EC%93%B0%EC%BD%94%EC%8B%9C-%EA%B2%BD%EC%84%B1%EC%A7%80%EC%A0%90-%281%29_rev-thumb.jpg,https://ncms.nculture.org/legacy/story/7134,근대-일제강점기(1910.8.22~1945.8.14),서울특별시,중구,서울특별시 중구 소공로 63,37.56091902,126.980979,신세계백화점 본점,20230101,"백화점, 미츠코시, 이상, 채만식",M,미디어 & 엔터테인먼트/TV 애호가,82,71,20231230
20231200008,"서울 최초의 근대 백화점, 미츠코시 백화점 경성지점","미츠코시 백화점 경성지점은 서울특별시에 세워진 최초의 근대식 백화점이다. 미츠코시 오복점이 1929년에 지점으로 승격되면서 본격적으로 백화점의 면모를 갖추게 되었다. 대형 백화점의 등장은 정찰제 판매, 박리다매 전략의 등장으로 우리나라 유통에 큰 변화를 불러왔다. 미츠코시 백화점은 일반 시민들에게 일상적인 공간으로 자리 잡았으나 이면에는 일제강점기 소비문화의 모순이 감춰져 있기도 했다. 현재는 서울특별시 중구 신세계백화점 본점 본관으로 사용되고 있다.",공간으로 읽는 근대문화 역사유산,"근대, 한반도에 발을 딛다",https://minio.nculture.org/amsweb-opt/multimedia_assets/125/85820/93650/c/%EA%B5%AC-%EB%AF%B8%EC%93%B0%EC%BD%94%EC%8B%9C-%EA%B2%BD%EC%84%B1%EC%A7%80%EC%A0%90-%281%29_rev-thumb.jpg,https://ncms.nculture.org/legacy/story/7134,근대-일제강점기(1910.8.22~1945.8.14),서울특별시,중구,서울특별시 중구 소공로 63,37.56091902,126.980979,신세계백화점 본점,20230101,"백화점, 미츠코시, 이상, 채만식",M,미디어 & 엔터테인먼트/음악 애호가/월드 뮤직 팬,81,69,20231230
20231200009,"서울 최초의 근대 백화점, 미츠코시 백화점 경성지점","미츠코시 백화점 경성지점은 서울특별시에 세워진 최초의 근대식 백화점이다. 미츠코시 오복점이 1929년에 지점으로 승격되면서 본격적으로 백화점의 면모를 갖추게 되었다. 대형 백화점의 등장은 정찰제 판매, 박리다매 전략의 등장으로 우리나라 유통에 큰 변화를 불러왔다. 미츠코시 백화점은 일반 시민들에게 일상적인 공간으로 자리 잡았으나 이면에는 일제강점기 소비문화의 모순이 감춰져 있기도 했다. 현재는 서울특별시 중구 신세계백화점 본점 본관으로 사용되고 있다.",공간으로 읽는 근대문화 역사유산,"근대, 한반도에 발을 딛다",https://minio.nculture.org/amsweb-opt/multimedia_assets/125/85820/93650/c/%EA%B5%AC-%EB%AF%B8%EC%93%B0%EC%BD%94%EC%8B%9C-%EA%B2%BD%EC%84%B1%EC%A7%80%EC%A0%90-%281%29_rev-thumb.jpg,https://ncms.nculture.org/legacy/story/7134,근대-일제강점기(1910.8.22~1945.8.14),서울특별시,중구,서울특별시 중구 소공로 63,37.56091902,126.980979,신세계백화점 본점,20230101,"백화점, 미츠코시, 이상, 채만식",M,스포츠 & 피트니스/스포츠 팬/축구 팬,78,68,20231230
20231200010,"서울 최초의 근대 백화점, 미츠코시 백화점 경성지점","미츠코시 백화점 경성지점은 서울특별시에 세워진 최초의 근대식 백화점이다. 미츠코시 오복점이 1929년에 지점으로 승격되면서 본격적으로 백화점의 면모를 갖추게 되었다. 대형 백화점의 등장은 정찰제 판매, 박리다매 전략의 등장으로 우리나라 유통에 큰 변화를 불러왔다. 미츠코시 백화점은 일반 시민들에게 일상적인 공간으로 자리 잡았으나 이면에는 일제강점기 소비문화의 모순이 감춰져 있기도 했다. 현재는 서울특별시 중구 신세계백화점 본점 본관으로 사용되고 있다.",공간으로 읽는 근대문화 역사유산,"근대, 한반도에 발을 딛다",https://minio.nculture.org/amsweb-opt/multimedia_assets/125/85820/93650/c/%EA%B5%AC-%EB%AF%B8%EC%93%B0%EC%BD%94%EC%8B%9C-%EA%B2%BD%EC%84%B1%EC%A7%80%EC%A0%90-%281%29_rev-thumb.jpg,https://ncms.nculture.org/legacy/story/7134,근대-일제강점기(1910.8.22~1945.8.14),서울특별시,중구,서울특별시 중구 소공로 63,37.56091902,126.980979,신세계백화점 본점,20230101,"백화점, 미츠코시, 이상, 채만식",M,은행 및 금융/열렬한 투자자,77,70,20231230
